   n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, merge_cmp, merge_swaps, merge_time, selection_cmp, selection_swaps, selection_time, bubble_cmp, bubble_swaps, bubble_time
 504,           745,             243,            189,      4076,         719,       1215,      2356,           0,       1274,        127260,             147,          21923,     126756,          243,       20485
 505,           746,             243,            185,      4074,         711,       1205,      2357,           0,       1235,        127765,             147,          21543,     127260,          243,       20781
 506,           748,             244,            184,      4076,         715,       1176,      2381,           0,       1239,        128271,             148,          21311,     127765,          244,       20799
 507,           751,             246,            188,      4089,         722,       1188,      2379,           0,       1238,        128778,             148,          21703,     128271,          246,       20987
 508,           752,             246,            184,      4086,         719,       1183,      2381,           0,       1241,        129286,             148,          21511,     128778,          246,       20770
 509,           753,             246,            190,      4115,         721,       1188,      2387,           0,       1241,        129795,             148,          23094,     129286,          246,       21225
 510,           754,             246,            194,      4122,         722,       1257,      2411,           0,       1316,        130305,             148,          22902,     129795,          246,       22310
 511,           755,             246,            199,      4109,         713,       1250,      2408,           0,       1323,        130816,             148,          23243,     130305,          246,       22226
 512,           756,             246,            214,      4118,         713,       1214,      2411,           0,       1363,        131328,             148,          22369,     130816,          246,       21778
 513,           758,             247,            200,      4147,         724,       1285,      2412,           0,       1332,        131841,             149,          22615,     131328,          247,       21490
 514,           760,             248,            198,      4158,         728,       1261,      2412,           0,       1350,        132355,             150,          23373,     131841,          248,       22551
 515,           764,             251,            227,      4168,         722,       1336,      2427,           0,       1267,        132870,             149,          22290,     132355,          251,       21621
 516,           765,             251,            189,      4184,         730,       1208,      2432,           0,       1267,        133386,             149,          22186,     132870,          251,       21684
 517,           766,             251,            193,      4206,         732,       1217,      2438,           0,       1275,        133903,             149,          22515,     133386,          251,       21844
 518,           767,             251,            187,      4221,         736,       1214,      2426,           0,       1357,        134421,             149,          22410,     133903,          251,       21772
 519,           770,             253,            198,      4212,         727,       1210,      2446,           0,       1283,        134940,             151,          22691,     134421,          253,       21924
