   n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, merge_cmp, merge_swaps, merge_time, selection_cmp, selection_swaps, selection_time, bubble_cmp, bubble_swaps, bubble_time
 434,         46327,           45899,          10053,      5520,        1197,        970,      3260,           0,        977,         94395,             427,           8646,      93961,        45899,       13876
 435,         46383,           45954,          10059,      5507,        1231,        989,      3266,           0,        952,         94830,             426,           8586,      94395,        45954,       13950
 436,         46533,           46103,          10097,      5447,        1212,        969,      3271,           0,        939,         95266,             427,           8478,      94830,        46103,       14012
 437,         46714,           46283,          10010,      5632,        1201,        986,      3281,           0,       1012,         95703,             428,           8533,      95266,        46283,       13995
 438,         46827,           46395,          10018,      5504,        1208,        976,      3295,           0,        944,         96141,             432,           8586,      95703,        46395,       14038
 439,         46950,           46517,          10035,      5630,        1228,        993,      3293,           0,        957,         96580,             432,           8633,      96141,        46517,       14158
 440,         46984,           46550,          10022,      5633,        1212,       1005,      3306,           0,        964,         97020,             431,           8753,      96580,        46550,       14566
 441,         47226,           46791,          10439,      5901,        1170,       1008,      3316,           0,        955,         97461,             434,           8671,      97020,        46791,       14247
 442,         47280,           46844,          10107,      5860,        1214,       1010,      3307,           0,        954,         97903,             435,           8833,      97461,        46844,       14719
 443,         47294,           46857,          10393,      5484,        1227,        995,      3310,           0,        967,         98346,             436,           8783,      97903,        46857,       14371
 444,         47481,           47043,          10133,      5429,        1237,        967,      3332,           0,        963,         98790,             438,           8810,      98346,        47043,       14418
 445,         47907,           47468,          10288,      5371,        1249,        963,      3331,           0,        965,         99235,             438,           9006,      98790,        47468,       14899
 446,         48298,           47858,          10633,      5972,        1221,       1055,      3352,           0,        968,         99681,             437,           8926,      99235,        47858,       14657
 447,         48726,           48285,          10449,      6128,        1255,       1055,      3368,           0,        970,        100128,             440,           9090,      99681,        48285,       15121
 448,         49080,           48638,          10913,      5855,        1272,       1101,      3393,           0,        978,        100576,             444,           9060,     100128,        48638,       14909
 449,         49407,           48964,          10657,      5576,        1250,        995,      3400,           0,        988,        101025,             445,           9165,     100576,        48964,       15417
 450,         49779,           49335,          11041,      5717,        1276,       1060,      3402,           0,       1011,        101475,             440,           9130,     101025,        49335,       14971
 451,         50229,           49784,          10762,      5464,        1274,        982,      3402,           0,        977,        101926,             441,           9244,     101475,        49784,       15463
 452,         50238,           49792,          11047,      5764,        1238,       1038,      3426,           0,       1013,        102378,             441,           9425,     101926,        49792,       15497
 453,         50362,           49915,          11140,      5741,        1261,       1041,      3427,           0,        991,        102831,             448,           9277,     102378,        49915,       15192
 454,         50539,           50091,          10803,      5783,        1270,       1016,      3426,           0,       1031,        103285,             445,           9397,     102831,        50091,       15625
 455,         50705,           50256,          11184,      6077,        1274,       1074,      3445,           0,       1017,        103740,             448,           9553,     103285,        50256,       15709
 456,         51056,           50606,          11257,      5810,        1276,       1049,      3462,           0,       1026,        104196,             446,           9572,     103740,        50606,       15786
 457,         51376,           50925,          11353,      5806,        1290,       1057,      3465,           0,       1001,        104653,             446,           9370,     104196,        50925,       15428
 458,         51488,           51036,          11058,      5528,        1326,       1008,      3471,           0,        999,        105111,             451,           9617,     104653,        51036,       15977
 459,         51930,           51477,          11479,      6122,        1269,       1079,      3476,           0,        998,        105570,             453,           9493,     105111,        51477,       15589
 460,         52211,           51757,          11239,      5985,        1285,       1055,      3507,           0,       1028,        106030,             453,           9768,     105570,        51757,       16173
 461,         52312,           51857,          12172,      5624,        1265,       1061,      3513,           0,       1014,        106491,             455,           9703,     106030,        51857,       16232
 462,         52337,           51881,          11358,      5598,        1286,       1034,      3506,           0,       1006,        106953,             457,           9800,     106491,        51881,       16218
 463,         52799,           52343,          11740,      5804,        1310,       1078,      3521,           0,       1052,        107416,             460,          10183,     106953,        52343,       16538
 464,         53153,           52696,          11775,      5858,        1302,       1066,      3528,           0,       1035,        107880,             461,           9736,     107416,        52696,       15946
 465,         53192,           52734,          11435,      5876,        1318,       1037,      3535,           0,       1031,        108345,             461,           9953,     107880,        52734,       16461
 466,         53218,           52759,          11775,      6016,        1294,       1087,      3537,           0,       1045,        108811,             460,          10106,     108345,        52759,       16520
 467,         53227,           52767,          11715,      6050,        1315,       1099,      3549,           0,       1023,        109278,             462,           9859,     108811,        52767,       16539
